date,ticker,open,high,low,close,adjClose,volume,return,relative_trading_day,film,event_stage,announced_event_date
2021-12-16,SPY,472.57000732421875,472.8699951171875,464.79998779296875,466.45001220703125,437.3551330566406,116568600,-0.008818667714243777,-1,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-17,SPY,461.54998779296875,464.739990234375,458.05999755859375,459.8699951171875,432.700439453125,135511600,-0.010642823764258402,0,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-20,SPY,454.4800109863281,455.3999938964844,451.1400146484375,454.9800109863281,428.0994567871094,107134800,-0.010633182327779989,1,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-21,SPY,458.6099853515625,463.2099914550781,456.30999755859375,463.05999755859375,435.7020263671875,69806300,0.017758886304447774,2,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-22,SPY,462.7900085449219,467.80999755859375,462.5799865722656,467.69000244140625,440.0584716796875,58890200,0.009998680402804938,3,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-23,SPY,468.75,472.19000244140625,468.6400146484375,470.6000061035156,442.7965393066406,56439700,0.006222054120449183,4,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-27,SPY,472.05999755859375,477.30999755859375,472.010009765625,477.260009765625,449.0630187988281,56808600,0.014152051644305885,5,Spider-Man: No Way Home,US theatrical release,2021-12-17
2023-03-28,MAT,16.889999389648438,17.100000381469727,16.760000228881836,17.079999923706055,17.079999923706055,1964500,0.008859989121466016,-5,Barbie,Teaser trailer 2,2023-04-04
2023-03-29,MAT,17.25,17.6299991607666,17.15999984741211,17.549999237060547,17.549999237060547,2116100,0.027517524323999565,-4,Barbie,Teaser trailer 2,2023-04-04
2023-03-30,MAT,17.719999313354492,17.969999313354492,17.65999984741211,17.84000015258789,17.84000015258789,3141400,0.016524269409365244,-3,Barbie,Teaser trailer 2,2023-04-04
2023-03-31,MAT,17.93000030517578,18.440000534057617,17.889999389648438,18.40999984741211,18.40999984741211,3032200,0.03195065526619589,-2,Barbie,Teaser trailer 2,2023-04-04
2023-04-03,MAT,18.3799991607666,18.40999984741211,17.979999542236328,18.09000015258789,18.09000015258789,1785200,-0.017381841253475083,-1,Barbie,Teaser trailer 2,2023-04-04
2023-04-04,MAT,18.149999618530273,18.15999984741211,17.860000610351562,18.040000915527344,18.040000915527344,1819000,-0.002763915789873228,0,Barbie,Teaser trailer 2,2023-04-04
2023-04-05,MAT,17.969999313354492,18.0,17.59000015258789,17.639999389648438,17.639999389648438,2203200,-0.02217303246002711,1,Barbie,Teaser trailer 2,2023-04-04
2023-04-06,MAT,17.639999389648438,17.690000534057617,17.459999084472656,17.530000686645508,17.530000686645508,1810000,-0.0062357543542478355,2,Barbie,Teaser trailer 2,2023-04-04
2023-04-10,MAT,17.450000762939453,17.81999969482422,17.40999984741211,17.729999542236328,17.729999542236328,2489200,0.011408947390582957,3,Barbie,Teaser trailer 2,2023-04-04
