date,ticker,sector,sentiment,sector_augmented_sentiment,observed_news,article_count,reliability,usable_sentiment_lag1,usable_reliability_lag1
2020-10-07,INTC,Tech,0.028599999999999997,0.028599999999999997,1,3.0,0.3868528072345416,-0.08333333333333333,0.3868528072345416
2020-10-08,INTC,Tech,0.1987,0.1987,1,6.0,0.5,0.028599999999999997,0.3868528072345416
2020-10-09,INTC,Tech,0.09106666666666667,0.09106666666666667,1,3.0,0.3868528072345416,0.1987,0.5
2020-10-12,INTC,Tech,0.3879,0.3879,1,2.0,0.30657359638272924,0.09106666666666667,0.3868528072345416
2020-10-13,INTC,Tech,0.0,0.0,1,4.0,0.4491222008519636,0.3879,0.30657359638272924
2020-10-14,INTC,Tech,0.0086,0.0086,1,3.0,0.3868528072345416,0.0,0.4491222008519636
2020-10-15,INTC,Tech,0.30155,0.37260000000000004,1,4.0,0.4491222008519636,0.0086,0.3868528072345416
2020-10-16,INTC,Tech,-0.09866666666666667,-0.09866666666666667,1,3.0,0.3868528072345416,0.30155,0.4491222008519636
2020-10-19,INTC,Tech,-0.09643750000000001,-0.09643750000000001,1,8.0,0.5,-0.09866666666666667,0.3868528072345416
2020-10-20,INTC,Tech,0.025375,-0.06492500000000001,1,4.0,0.4491222008519636,-0.09643750000000001,0.5
2020-10-21,INTC,Tech,0.07525,0.07525,1,4.0,0.4491222008519636,0.025375,0.4491222008519636
2020-10-22,INTC,Tech,0.1856375,0.1856375,1,8.0,0.5,0.07525,0.4491222008519636
2020-10-23,INTC,Tech,0.0998090909090909,0.0998090909090909,1,22.0,0.5,0.1856375,0.5
2020-10-26,INTC,Tech,-0.059285714285714275,-0.059285714285714275,1,7.0,0.5,0.0998090909090909,0.5
2020-10-27,INTC,Tech,-0.04427857142857143,-0.018478571428571428,1,14.0,0.5,-0.059285714285714275,0.5
2020-10-28,INTC,Tech,0.10895714285714285,0.10895714285714285,1,7.0,0.5,-0.04427857142857143,0.5
2020-10-29,INTC,Tech,0.1144,0.1144,1,4.0,0.4491222008519636,0.10895714285714285,0.5
2020-10-30,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,0.1144,0.4491222008519636
2020-11-02,INTC,Tech,0.1584875,0.1584875,1,8.0,0.5,0.0,0.1934264036172708
2020-11-03,INTC,Tech,0.39880000000000004,0.55865,1,2.0,0.30657359638272924,0.1584875,0.5
2020-11-04,INTC,Tech,0.13302,0.13302,1,5.0,0.5,0.39880000000000004,0.30657359638272924
2020-11-05,INTC,Tech,0.1909,0.1909,1,2.0,0.30657359638272924,0.13302,0.5
2020-11-06,INTC,Tech,0.32995,0.32995,1,2.0,0.30657359638272924,0.1909,0.30657359638272924
2020-11-09,INTC,Tech,-0.04933333333333333,-0.04933333333333333,1,6.0,0.5,0.32995,0.30657359638272924
2020-11-10,INTC,Tech,0.026279999999999998,0.026279999999999998,1,10.0,0.5,-0.04933333333333333,0.5
2020-11-11,INTC,Tech,0.14881428571428573,0.14881428571428573,1,7.0,0.5,0.026279999999999998,0.5
2020-11-12,INTC,Tech,0.17289999999999997,0.17289999999999997,1,6.0,0.5,0.14881428571428573,0.5
2020-11-13,INTC,Tech,-0.016139999999999998,0.0231,1,5.0,0.5,0.17289999999999997,0.5
2020-11-16,INTC,Tech,0.29933333333333334,0.29933333333333334,1,3.0,0.3868528072345416,-0.016139999999999998,0.5
2020-11-17,INTC,Tech,0.33113333333333334,0.33113333333333334,1,3.0,0.3868528072345416,0.29933333333333334,0.3868528072345416
2020-11-18,INTC,Tech,0.20947500000000002,0.20947500000000002,1,4.0,0.4491222008519636,0.33113333333333334,0.3868528072345416
2020-11-19,INTC,Tech,-0.2732,-0.2732,1,1.0,0.1934264036172708,0.20947500000000002,0.4491222008519636
2020-11-20,INTC,Tech,0.2288,0.2288,1,2.0,0.30657359638272924,-0.2732,0.1934264036172708
2020-11-23,INTC,Tech,0.1069,0.1069,1,4.0,0.4491222008519636,0.2288,0.30657359638272924
2020-11-24,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,0.1069,0.4491222008519636
2020-11-25,INTC,Tech,0.15253333333333333,0.15253333333333333,1,3.0,0.3868528072345416,0.0,0.1934264036172708
2020-11-27,INTC,Tech,0.37895,0.37895,1,2.0,0.30657359638272924,0.15253333333333333,0.3868528072345416
2020-11-30,INTC,Tech,0.190225,0.190225,1,4.0,0.4491222008519636,0.37895,0.30657359638272924
2020-12-01,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,0.190225,0.4491222008519636
2020-12-02,INTC,Tech,0.164975,0.158525,1,4.0,0.4491222008519636,0.0,0.1934264036172708
2020-12-03,INTC,Tech,0.21621666666666664,0.21621666666666664,1,6.0,0.5,0.164975,0.4491222008519636
2020-12-04,INTC,Tech,0.17045000000000002,0.17045000000000002,1,2.0,0.30657359638272924,0.21621666666666664,0.5
2020-12-07,INTC,Tech,0.1302611111111111,0.1302611111111111,1,18.0,0.5,0.17045000000000002,0.30657359638272924
2020-12-08,INTC,Tech,0.0,0.0,1,2.0,0.30657359638272924,0.1302611111111111,0.5
2020-12-09,INTC,Tech,0.46715,0.46715,1,2.0,0.30657359638272924,0.0,0.30657359638272924
2020-12-10,INTC,Tech,0.47575,0.47575,1,2.0,0.30657359638272924,0.46715,0.30657359638272924
2020-12-11,INTC,Tech,0.310425,0.310425,1,4.0,0.4491222008519636,0.47575,0.30657359638272924
2020-12-14,INTC,Tech,0.1029,0.1029,1,4.0,0.4491222008519636,0.310425,0.4491222008519636
2020-12-15,INTC,Tech,0.11988000000000001,0.11988000000000001,1,5.0,0.5,0.1029,0.4491222008519636
2020-12-16,INTC,Tech,0.0,0.0,1,3.0,0.3868528072345416,0.11988000000000001,0.5
2020-12-17,INTC,Tech,0.10927142857142857,0.057671428571428575,1,7.0,0.5,0.0,0.3868528072345416
2020-12-18,INTC,Tech,0.201,0.201,1,4.0,0.4491222008519636,0.10927142857142857,0.5
2020-12-21,INTC,Tech,0.3291,0.3291,1,7.0,0.5,0.201,0.4491222008519636
2020-12-22,INTC,Tech,0.2202,0.2202,1,2.0,0.30657359638272924,0.3291,0.5
2020-12-23,INTC,Tech,-0.1806,-0.1806,1,2.0,0.30657359638272924,0.2202,0.30657359638272924
2020-12-24,INTC,Tech,0.09866666666666667,0.09866666666666667,1,3.0,0.3868528072345416,-0.1806,0.30657359638272924
2020-12-28,INTC,Tech,0.3980333333333334,0.3980333333333334,1,6.0,0.5,0.09866666666666667,0.3868528072345416
